[2022-11-28T09:17:26.280Z] INFO  5cb42b3bd454-50/LDP: Waiting for service(s) 'ldp.container, ldp.resource, ldp.registry'...
[2022-11-28T09:17:26.280Z] INFO  5cb42b3bd454-50/MIRROR: Waiting for service(s) 'triplestore, webfinger, activitypub, activitypub.relay, void, auth.account, ldp.container, ldp.registry'...
[2022-11-28T09:17:26.280Z] INFO  5cb42b3bd454-50/SPARQLENDPOINT: Waiting for service(s) 'triplestore, api'...
[2022-11-28T09:17:26.280Z] INFO  5cb42b3bd454-50/TRIPLESTORE: Waiting for service(s) 'jsonld'...
[2022-11-28T09:17:26.281Z] INFO  5cb42b3bd454-50/VOID: Waiting for service(s) 'ldp.registry, api, triplestore, jsonld'...
[2022-11-28T09:17:26.281Z] INFO  5cb42b3bd454-50/WEBACL.RESOURCE: Waiting for service(s) 'triplestore, jsonld'...
[2022-11-28T09:17:26.281Z] INFO  5cb42b3bd454-50/WEBACL: Waiting for service(s) 'api'...
[2022-11-28T09:17:26.281Z] INFO  5cb42b3bd454-50/WEBFINGER: Waiting for service(s) 'api, auth.account'...
[2022-11-28T09:17:26.281Z] INFO  5cb42b3bd454-50/FILE: Waiting for service(s) 'ldp'...
[2022-11-28T09:17:26.281Z] INFO  5cb42b3bd454-50/INFERENCE: Waiting for service(s) 'triplestore, ldp, jsonld'...
[2022-11-28T09:17:26.281Z] INFO  5cb42b3bd454-50/WEBID: Waiting for service(s) 'ldp.resource'...
[2022-11-28T09:17:26.281Z] INFO  5cb42b3bd454-50/AUTH.ACCOUNT: Waiting for service(s) 'triplestore'...
[2022-11-28T09:17:26.281Z] INFO  5cb42b3bd454-50/LDP.RESOURCE: Waiting for service(s) 'triplestore, jsonld'...
[2022-11-28T09:17:26.281Z] INFO  5cb42b3bd454-50/WEBACL.GROUP: Waiting for service(s) 'triplestore, webacl.resource, ldp.container'...
[2022-11-28T09:17:26.281Z] INFO  5cb42b3bd454-50/LDP.REGISTRY: Waiting for service(s) 'ldp.container, api'...
[2022-11-28T09:17:26.281Z] INFO  5cb42b3bd454-50/LDP.CACHE: Waiting for service(s) 'ldp.container'...
[2022-11-28T09:17:26.286Z] INFO  5cb42b3bd454-50/REGISTRY: '$node' service is registered.
[2022-11-28T09:17:26.287Z] INFO  5cb42b3bd454-50/REGISTRY: 'auth.jwt' service is registered.
[2022-11-28T09:17:26.287Z] INFO  5cb42b3bd454-50/REGISTRY: 'core' service is registered.
[2022-11-28T09:17:26.288Z] INFO  5cb42b3bd454-50/REGISTRY: 'webacl.cache' service is registered.
[2022-11-28T09:17:26.289Z] INFO  5cb42b3bd454-50/REGISTRY: 'signature' service is registered.
[2022-11-28T09:17:26.290Z] INFO  5cb42b3bd454-50/REGISTRY: 'triplestore.dataset' service is registered.
[2022-11-28T09:17:26.290Z] INFO  5cb42b3bd454-50/$NODE: Service '$node' started.
[2022-11-28T09:17:26.290Z] INFO  5cb42b3bd454-50/AUTH.JWT: Service 'auth.jwt' started.
[2022-11-28T09:17:26.290Z] INFO  5cb42b3bd454-50/CORE: Service 'core' started.
[2022-11-28T09:17:26.290Z] INFO  5cb42b3bd454-50/WEBACL.CACHE: Service 'webacl.cache' started.
[2022-11-28T09:17:26.290Z] INFO  5cb42b3bd454-50/SIGNATURE: Service 'signature' started.
[2022-11-28T09:17:26.290Z] INFO  5cb42b3bd454-50/TRIPLESTORE.DATASET: Service 'triplestore.dataset' started.
[2022-11-28T09:17:26.293Z] INFO  5cb42b3bd454-50/API: API Gateway listening on http://0.0.0.0:3000
[2022-11-28T09:17:26.295Z] INFO  5cb42b3bd454-50/REGISTRY: 'api' service is registered.
[2022-11-28T09:17:26.296Z] INFO  5cb42b3bd454-50/API: Service 'api' started.
[2022-11-28T09:17:26.304Z] INFO  5cb42b3bd454-50/CACHER: Redis cacher connected.
[2022-11-28T09:17:27.281Z] INFO  5cb42b3bd454-50/ACTIVITYPUB: Service(s) 'api' are available.
[2022-11-28T09:17:27.282Z] INFO  5cb42b3bd454-50/REGISTRY: 'activitypub' service is registered.
[2022-11-28T09:17:27.282Z] INFO  5cb42b3bd454-50/ACTIVITYPUB: Service 'activitypub' started.
[2022-11-28T09:17:27.282Z] INFO  5cb42b3bd454-50/JSONLD: Service(s) 'api' are available.
[2022-11-28T09:17:27.285Z] INFO  5cb42b3bd454-50/WEBACL: Service(s) 'api' are available.
[2022-11-28T09:17:27.285Z] INFO  5cb42b3bd454-50/BROKER: Waiting for service(s) 'triplestore, auth'...
[2022-11-28T09:17:27.288Z] INFO  5cb42b3bd454-50/API: Register route to 'context.json'
[2022-11-28T09:17:27.290Z] INFO  5cb42b3bd454-50/API:      GET /context.json => <Function>
[2022-11-28T09:17:27.290Z] INFO  5cb42b3bd454-50/API: 
[2022-11-28T09:17:27.291Z] INFO  5cb42b3bd454-50/REGISTRY: 'jsonld' service is registered.
[2022-11-28T09:17:27.291Z] INFO  5cb42b3bd454-50/JSONLD: Service 'jsonld' started.
[2022-11-28T09:17:28.286Z] INFO  5cb42b3bd454-50/TRIPLESTORE: Service(s) 'jsonld' are available.
[2022-11-28T09:17:28.309Z] INFO  5cb42b3bd454-50/TRIPLESTORE.DATASET: Dataset localData doesn't exist. Creating it...
[2022-11-28T09:17:28.326Z] INFO  5cb42b3bd454-50/TRIPLESTORE.DATASET: 
[2022-11-28T09:17:28.770Z] INFO  5cb42b3bd454-65/BROKER: Moleculer v0.14.19 is starting...
[2022-11-28T09:17:28.771Z] INFO  5cb42b3bd454-65/BROKER: Namespace: <not defined>
[2022-11-28T09:17:28.771Z] INFO  5cb42b3bd454-65/BROKER: Node ID: 5cb42b3bd454-65
[2022-11-28T09:17:28.772Z] INFO  5cb42b3bd454-65/REGISTRY: Strategy: RoundRobinStrategy
[2022-11-28T09:17:28.772Z] INFO  5cb42b3bd454-65/REGISTRY: Discoverer: LocalDiscoverer
[2022-11-28T09:17:28.773Z] INFO  5cb42b3bd454-65/BROKER: Serializer: JSONSerializer
[2022-11-28T09:17:28.778Z] INFO  5cb42b3bd454-65/BROKER: Validator: FastestValidator
[2022-11-28T09:17:28.780Z] INFO  5cb42b3bd454-65/BROKER: Registered 15 middleware(s).
